Source value in export	Target value 
optype="Cardinal"	optype="continuous"
optype="Nominal"	optype="categorical"
dataType="String"	dataType="string"
dataType="Long integer"	dataType="integer"
dataType="Float"	dataType="float"
dataType="Boolean"	dataType="string"
dataType="Date"	dataType="string"
leftMargin="-inf"	leftMargin="-INF"
rightMargin="+inf"	rightMargin="INF"
name="SUPP"	name="Support"
name="FUI"	name="Confidence"
name="DFUI"	name="Double Founded Implication"
name="AAD"	name="Above Average Implication"
name="DConf"	name="Double Founded Implication"
name="LBound"	name="Lower Critical Implication"
name="UBound"	name="Upper Critical Implication"
name="DLBound"	name="Double Lower Critical Implication"
name="DUBound"	name="Double Upper Critical Implication"
name="EConf"	name="Founded Equivalence"
name="ELBound"	name="Lower Critical Equivalence"
name="EUBound"	name="Upper Critical Equivalence"
name="Chi-Sq"	name="Chi-Square"
